"Anio","Mes","Dia","latitude","longitude","Altitud","T","TM","Tm","SLP","H","PP","VV","V","VM","VG","RA","SN","TS","FG"
"2020.0","1.0","0.0","-13.55","-71.98","3248.0","13.1","19.8","7.5","","61.0","99.05","9.8","7.6","23.9","","19.0","0.0","3.0","0.0"
"2020.0","1.0","1.0","-13.55","-71.98","3248.0","12.3","21.0","7.0","","64.0","14.99","10.0","7.0","24.1","","0.0","","",""
"2020.0","1.0","2.0","-13.55","-71.98","3248.0","12.2","18.0","9.0","","70.0","3.05","9.3","7.2","20.6","","0.0","","",""
"2020.0","1.0","3.0","-13.55","-71.98","3248.0","13.2","18.5","8.8","","65.0","0.25","10.0","6.9","20.6","","0.0","","",""
"2020.0","1.0","4.0","-13.55","-71.98","3248.0","11.8","","","","","","","","","","0.0","","",""
"2020.0","1.0","5.0","-13.55","-71.98","3248.0","10.9","","","","","","","","","","0.0","","0.0",""
"2020.0","1.0","6.0","-13.55","-71.98","3248.0","13.0","","","","","","","","","","0.0","","",""
"2020.0","1.0","7.0","-13.55","-71.98","3248.0","13.7","22.0","5.0","","52.0","0.0","10.0","8.3","33.5","44.6","","","",""
"2020.0","1.0","8.0","-13.55","-71.98","3248.0","14.7","22.0","7.9","","52.0","0.0","10.0","6.5","20.6","","","","",""
"2020.0","1.0","9.0","-13.55","-71.98","3248.0","13.6","20.0","8.9","","61.0","","9.8","9.1","35.2","53.5","0.0","","0.0",""
"2020.0","1.0","10.0","-13.55","-71.98","3248.0","12.6","","","","","","","","","","0.0","","",""
"2020.0","1.0","11.0","-13.55","-71.98","3248.0","11.6","","","","","","","","","","0.0","","",""
"2020.0","1.0","12.0","-13.55","-71.98","3248.0","12.7","","","","","","","","","","","","",""
"2020.0","1.0","13.0","-13.55","-71.98","3248.0","12.1","21.0","5.2","","60.0","0.0","10.0","6.7","27.8","","","","",""
