Anio,Mes,Dia,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
2015,1,1,12.2,19.3,8,0,65,18.03,9.8,6.1,16.5,0,0,,,
2015,1,2,12.4,19.1,8.5,0,68,5.08,10,6.9,20.6,0,0,,,
2015,1,3,11.7,18.2,8,0,71,7.87,10,7.8,31.7,0,0,,,
2015,1,4,,,,,,,,,,,0,,,
2015,1,5,,,,,,,,,,,0,,,
2015,1,6,,,,,,,,,,,0,,,
2015,1,7,12.2,19,7.9,0,63,0.51,10,5.6,25.9,0,0,,,
2015,1,8,11.9,19.3,6.9,0,63,0,10,5.6,25.9,0,,,,
2015,1,9,13.5,20,9.2,0,55,0,10,4.1,16.5,0,0,,,
2015,1,10,,,,,,,,,,,0,,0,
2015,1,11,,,,,,,,,,,0,,0,
2015,1,12,,,,,,,,,,,0,,0,
2015,1,13,11,20.7,6.9,0,63,1.02,9.8,9.3,25.9,0,0,,0,
2015,1,14,12.3,20,5,0,54,0,10,5,22.2,0,,,,
2015,1,15,12.7,21,6.8,0,59,0,9.8,4.3,16.5,0,0,,0,
2015,1,16,,,,,,,,,,,,,,
2015,1,17,,,,,,,,,,,0,,0,
2015,1,18,,,,,,,,,,,0,,,
2015,1,19,12.4,21,7,0,61,14.99,9.7,6.5,35.2,38.9,0,,0,
2015,1,20,12.6,20.9,8.6,0,59,3.05,10,7.6,24.1,0,,,,
2015,1,21,12.5,19,9,0,64,3.05,10,6.3,18.3,0,0,,,
2015,1,22,,,,,,,,,,,,,,
2015,1,23,,,,,,,,,,,0,,,
2015,1,24,,,,,,,,,,,0,,,
2015,1,25,13.3,22,7.8,0,58,4.06,10,6.7,24.1,0,0,,0,
2015,1,26,12.1,21.9,8,0,68,14.99,9.8,5.6,24.1,0,0,,0,
2015,1,27,10.4,20,7,0,76,9.91,10,5.2,25.9,0,0,,,
2015,1,28,,,,,,,,,,,0,,,
2015,1,29,,,,,,,,,,,,,,
2015,1,30,,,,,,,,,,,,,,
2015,1,31,12.5,20.4,8.9,0,63,0,10,8.3,20.6,0,0,,,
2015,2,1,12.9,19,8,0,58,0.25,10,5.9,20.6,0,0,,,
2015,2,2,12.3,20,4.7,0,54,0.25,10,7.6,22.2,0,,,,
2015,2,3,14,22,5.4,0,48,0,10,7.6,16.5,0,,,,
2015,2,4,,,,,,,,,,,,,,
2015,2,5,,,,,,,,,,,,,,
2015,2,6,,,,,,,,,,,,,0,
2015,2,7,13.4,22.7,10,0,63,2.03,9.7,7.4,25.9,0,0,,0,
2015,2,8,12.8,19,9,0,65,9.91,9.7,6.3,22.2,0,0,,,
2015,2,9,13.7,19.7,9.7,0,56,0,10,3.5,18.3,0,0,,,
2015,2,10,,,,,,,,,,,0,,,
2015,2,11,,,,,,,,,,,0,,,
2015,2,12,,,,,,,,,,,0,,,
2015,2,13,12.8,20.2,7.7,0,63,0.51,10,4.8,16.5,0,,,,
2015,2,14,13.3,20.7,8.6,0,62,3.05,10,3.7,20.6,0,0,,,
