"Anio,""Mes"",""Dia"",""latitude"",""longitude"",""altitude"",""T"",""TM"",""Tm"",""SLP"",""H"",""PP"",""VV"",""V"",""VM"",""VG"",""RA"",""SN"",""TS"",""FG"",""SN"",""TS"",""FG"""
"2020,""1"",""0"",""-13.55"",""-71.98"",""3248"",""13.1"",""19.8"",""7.5"","""",""61"",""99.05"",""9.8"",""7.6"",""23.9"","""",""19"",""0"",""3"",""0"","""","""","""""
"2020,""1"",""1"",""-13.55"",""-71.98"",""3248"",""12.3"",""21"",""7"","""",""64"",""14.99"",""10"",""7"",""24.1"","""",""0"","""","""","""","""","""","""""
"2020,""1"",""2"",""-13.55"",""-71.98"",""3248"",""12.2"",""18"",""9"","""",""70"",""3.05"",""9.3"",""7.2"",""20.6"","""",""0"","""","""","""","""","""","""""
"2020,""1"",""3"",""-13.55"",""-71.98"",""3248"",""13.2"",""18.5"",""8.8"","""",""65"",""0.25"",""10"",""6.9"",""20.6"","""",""0"","""","""","""","""","""","""""
"2020,""1"",""4"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""",""0"","""","""","""","""","""","""""
"2020,""1"",""5"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""",""0"","""",""0"","""","""","""","""""
"2020,""1"",""6"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""",""0"","""","""","""","""","""","""""
"2020,""1"",""7"",""-13.55"",""-71.98"",""3248"",""13.7"",""22"",""5"","""",""52"",""0"",""10"",""8.3"",""33.5"",""44.6"","""","""","""","""","""","""","""""
"2020,""1"",""8"",""-13.55"",""-71.98"",""3248"",""14.7"",""22"",""7.9"","""",""52"",""0"",""10"",""6.5"",""20.6"","""","""","""","""","""","""","""","""""
"2020,""1"",""9"",""-13.55"",""-71.98"",""3248"",""13.6"",""20"",""8.9"","""",""61"","""",""9.8"",""9.1"",""35.2"",""53.5"",""0"","""",""0"","""","""","""","""""
"2020,""1"",""10"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""",""0"","""","""","""","""","""","""""
"2020,""1"",""11"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""",""0"","""","""","""","""","""","""""
"2020,""1"",""12"",""-13.55"",""-71.98"",""3248"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"2020,""1"",""13"",""-13.55"",""-71.98"",""3248"",""12.1"",""21"",""5.2"","""",""60"",""0"",""10"",""6.7"",""27.8"","""","""","""","""","""","""","""","""""
"2020,""1"",""14"",""-13.55"",""-71.98"",""3248"",""13.5"",""20"",""7.1"","""",""60"",""0"",""10"",""9.8"",""29.4"","""","""","""","""","""","""","""","""""
"2020,""1"",""15"",""-13.55"",""-71.98"",""3248"",""13.3"",""18"",""10"","""",""61"","""",""10"",""10"",""27.8"",""38.9"",""0"","""","""","""","""","""","""""
